pair_id,pair_label,variant,family,tolerance_mode,percentile,tolerance_scale,token_samples,channel_samples,projection_dim,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,calib_honest_hetero_fpr,calib_tamper_tpr,calib_tamper_locacc,calib_prompt_count
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,global_shared,99.99,1.5,1,16,0,16,64,0.125,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,global_shared,99.99,2.0,1,16,0,16,64,0.125,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.0,0.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.0,1.0,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.0,1.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.0,2.0,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.0,0.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.0,1.0,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.0,1.5,1,64,0,64,256,0.975,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.0,2.0,1,64,0,64,256,0.85,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.5,0.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.5,1.0,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.5,1.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.5,2.0,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.5,0.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.5,1.0,1,64,0,64,256,0.975,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.5,1.5,1,64,0,64,256,0.95,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.5,2.0,1,64,0,64,256,0.75,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.9,0.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.9,1.0,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.9,1.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.9,2.0,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.9,0.5,1,64,0,64,256,0.975,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.9,1.0,1,64,0,64,256,0.875,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.9,1.5,1,64,0,64,256,0.775,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.9,2.0,1,64,0,64,256,0.725,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.95,0.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.95,1.0,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.95,1.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.95,2.0,1,64,0,64,256,0.95,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.95,0.5,1,64,0,64,256,0.975,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.95,1.0,1,64,0,64,256,0.875,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.95,1.5,1,64,0,64,256,0.75,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.95,2.0,1,64,0,64,256,0.625,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.99,0.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.99,1.0,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.99,1.5,1,64,0,64,256,1.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,checkpoint_specific,99.99,2.0,1,64,0,64,256,0.875,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.99,0.5,1,64,0,64,256,0.975,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.99,1.0,1,64,0,64,256,0.7,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.99,1.5,1,64,0,64,256,0.55,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar64,scalar,global_shared,99.99,2.0,1,64,0,64,256,0.475,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.0,0.5,16,0,4,64,256,0.35,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.0,1.0,16,0,4,64,256,0.075,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.0,1.5,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.0,2.0,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.0,0.5,16,0,4,64,256,0.05,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.0,1.0,16,0,4,64,256,0.025,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.0,1.5,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.0,2.0,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.5,0.5,16,0,4,64,256,0.35,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.5,1.0,16,0,4,64,256,0.075,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.5,1.5,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.5,2.0,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.5,0.5,16,0,4,64,256,0.05,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.5,1.0,16,0,4,64,256,0.025,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.5,1.5,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.5,2.0,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.9,0.5,16,0,4,64,256,0.325,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.9,1.0,16,0,4,64,256,0.075,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.9,1.5,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.9,2.0,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.9,0.5,16,0,4,64,256,0.05,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.9,1.0,16,0,4,64,256,0.025,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.9,1.5,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.9,2.0,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.95,0.5,16,0,4,64,256,0.325,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.95,1.0,16,0,4,64,256,0.075,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.95,1.5,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.95,2.0,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.95,0.5,16,0,4,64,256,0.05,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.95,1.0,16,0,4,64,256,0.025,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.95,1.5,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.95,2.0,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.99,0.5,16,0,4,64,256,0.325,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.99,1.0,16,0,4,64,256,0.075,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.99,1.5,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,checkpoint_specific,99.99,2.0,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.99,0.5,16,0,4,64,256,0.05,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.99,1.0,16,0,4,64,256,0.025,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.99,1.5,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos4,projcos,global_shared,99.99,2.0,16,0,4,64,256,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.0,0.5,16,0,8,128,512,0.875,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.0,1.0,16,0,8,128,512,0.05,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.0,1.5,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.0,2.0,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.0,0.5,16,0,8,128,512,0.275,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.0,1.0,16,0,8,128,512,0.025,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.0,1.5,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.0,2.0,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.5,0.5,16,0,8,128,512,0.775,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.5,1.0,16,0,8,128,512,0.05,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.5,1.5,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.5,2.0,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.5,0.5,16,0,8,128,512,0.25,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.5,1.0,16,0,8,128,512,0.025,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.5,1.5,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.5,2.0,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.9,0.5,16,0,8,128,512,0.775,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.9,1.0,16,0,8,128,512,0.05,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.9,1.5,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.9,2.0,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.9,0.5,16,0,8,128,512,0.225,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.9,1.0,16,0,8,128,512,0.025,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.9,1.5,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.9,2.0,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.95,0.5,16,0,8,128,512,0.775,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.95,1.0,16,0,8,128,512,0.05,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.95,1.5,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.95,2.0,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.95,0.5,16,0,8,128,512,0.225,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.95,1.0,16,0,8,128,512,0.025,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.95,1.5,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,global_shared,99.95,2.0,16,0,8,128,512,0.0,1.0,1.0,40
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos8,projcos,checkpoint_specific,99.99,0.5,16,0,8,128,512,0.775,1.0,1.0,40
