pair_label,prompt_id,stage,stage_key,decode_step,left_capture_root,right_capture_root,left_runtime,right_runtime,thc_detected,thc_first_mismatch_index,thc_first_mismatch_checkpoint,tstc_detected,tstc_first_mismatch_index,tstc_first_mismatch_checkpoint,localization_label
current_mixed_stack,eval_001,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_a,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,False,-1,,N/A
current_mixed_stack,eval_002,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_a,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,False,-1,,N/A
current_mixed_stack,eval_003,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_a,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,False,-1,,N/A
current_mixed_stack,eval_004,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_a,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,False,-1,,N/A
current_mixed_stack,eval_005,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_a,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,False,-1,,N/A
current_mixed_stack,eval_006,prefill,prefill,0,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_a,/Users/siyuan/Developer/Veriedge/VeriEdge/workspace/captures/E1/t4bf16_current_mixed_eval_b,hetero_qwen_torch_chain,hetero_qwen_torch_chain,True,0,C1,False,-1,,N/A
